REGIAO:;SE;;;
UF:;SP;;;
ESTACAO:;SAO PAULO - INTERLAGOS;;;
CODIGO (WMO):;A771;;;
LATITUDE:;-2,372,444,443;;;
LONGITUDE:;-4,667,749,999;;;
ALTITUDE:;771;;;
DATA DE FUNDACAO:;14/03/2018;;;
Data;Hora UTC;Precipitacao;Temperatura;Umidade
25/01/2026;0700 UTC;0;18,6;95
25/01/2026;0800 UTC;0;18,7;95
25/01/2026;0900 UTC;0;18,9;95
25/01/2026;1000 UTC;0;19,3;95
25/01/2026;1100 UTC;0;20,6;90
25/01/2026;1200 UTC;0;22;85
25/01/2026;1300 UTC;0;22,6;78
25/01/2026;1400 UTC;0;23,9;71
25/01/2026;1500 UTC;0;24,9;71
25/01/2026;1600 UTC;0;25,8;73
25/01/2026;1700 UTC;0;25,1;74
25/01/2026;1800 UTC;0;22,4;84
25/01/2026;1900 UTC;0;21,4;86
25/01/2026;2000 UTC;0;21;89
25/01/2026;2100 UTC;0;21;85
25/01/2026;2200 UTC;,6;20,1;95
25/01/2026;2300 UTC;,2;19,8;94
26/01/2026;0000 UTC;0;19,8;92
26/01/2026;0100 UTC;0;19,7;89
26/01/2026;0200 UTC;0;19,8;87
26/01/2026;0300 UTC;0;19,9;88
26/01/2026;0400 UTC;0;19;92
26/01/2026;0500 UTC;0;18,4;94
26/01/2026;0600 UTC;0;17,8;94
26/01/2026;0700 UTC;0;17,4;95
26/01/2026;0800 UTC;0;17,6;96
26/01/2026;0900 UTC;0;17,7;96
26/01/2026;1000 UTC;0;21;81
26/01/2026;1100 UTC;0;22;75
26/01/2026;1200 UTC;0;23,4;70
26/01/2026;1300 UTC;0;24,7;67
26/01/2026;1400 UTC;0;25,5;66
26/01/2026;1500 UTC;,2;24,4;68
26/01/2026;1600 UTC;0;25;72
26/01/2026;1700 UTC;0;25;70
26/01/2026;1800 UTC;0;24,5;74
26/01/2026;1900 UTC;0;24,7;78
26/01/2026;2000 UTC;0;23,2;79
26/01/2026;2100 UTC;0;21,9;87
26/01/2026;2200 UTC;0;20,9;91
26/01/2026;2300 UTC;0;21;90
27/01/2026;0000 UTC;0;20,8;89
27/01/2026;0100 UTC;0;20,3;90
27/01/2026;0200 UTC;0;19,5;92
27/01/2026;0300 UTC;0;19,3;93
27/01/2026;0400 UTC;0;18,9;94
27/01/2026;0500 UTC;0;19,1;96
27/01/2026;0600 UTC;0;19,1;96
27/01/2026;0700 UTC;0;19;96
27/01/2026;0800 UTC;0;18,6;96
27/01/2026;0900 UTC;0;18,9;96
27/01/2026;1000 UTC;0;20,6;85
27/01/2026;1100 UTC;0;22,4;79
27/01/2026;1200 UTC;0;23,8;72
27/01/2026;1300 UTC;0;25,8;66
27/01/2026;1400 UTC;0;27,2;57
27/01/2026;1500 UTC;0;27,4;57
27/01/2026;1600 UTC;0;28,3;55
27/01/2026;1700 UTC;0;26;74
27/01/2026;1800 UTC;0;23,8;81
27/01/2026;1900 UTC;0;22;92
27/01/2026;2000 UTC;0;23,4;80
27/01/2026;2100 UTC;0;22,5;84
27/01/2026;2200 UTC;0;21,7;88
27/01/2026;2300 UTC;0;21,4;90
28/01/2026;0000 UTC;0;20,6;92
28/01/2026;0100 UTC;0;20,4;94
28/01/2026;0200 UTC;0;20,7;92
28/01/2026;0300 UTC;0;20,8;90
28/01/2026;0400 UTC;0;20,3;93
28/01/2026;0500 UTC;0;19,8;94
28/01/2026;0600 UTC;,2;19,4;95
28/01/2026;0700 UTC;0;19,2;96
28/01/2026;0800 UTC;0;19,1;96
28/01/2026;0900 UTC;0;19,3;94
28/01/2026;1000 UTC;0;21,3;84
28/01/2026;1100 UTC;0;23,6;75
28/01/2026;1200 UTC;0;25,6;64
28/01/2026;1300 UTC;0;26,7;60
28/01/2026;1400 UTC;0;28,9;58
28/01/2026;1500 UTC;0;29,1;57
28/01/2026;1600 UTC;0;30,7;49
28/01/2026;1700 UTC;0;26,4;74
28/01/2026;1800 UTC;4,6;20,3;89
28/01/2026;1900 UTC;0;22;86
28/01/2026;2000 UTC;0;22,7;90
28/01/2026;2100 UTC;0;22,5;89
28/01/2026;2200 UTC;0;21,9;88
28/01/2026;2300 UTC;0;21,1;91
29/01/2026;0000 UTC;0;21,3;78
29/01/2026;0100 UTC;0;21,2;83
29/01/2026;0200 UTC;0;20;89
29/01/2026;0300 UTC;0;19;92
29/01/2026;0400 UTC;0;18,5;94
29/01/2026;0500 UTC;0;18,4;95
29/01/2026;0600 UTC;0;18,1;95
29/01/2026;0700 UTC;0;17,9;95
29/01/2026;0800 UTC;,2;17,7;95
29/01/2026;0900 UTC;0;17,6;96
29/01/2026;1000 UTC;0;21,1;82
29/01/2026;1100 UTC;0;21,8;76
29/01/2026;1200 UTC;0;24,1;69
29/01/2026;1300 UTC;0;25,7;67
29/01/2026;1400 UTC;0;28,2;53
29/01/2026;1500 UTC;,2;29,2;54
29/01/2026;1600 UTC;0;29,4;55
29/01/2026;1700 UTC;0;30,7;56
29/01/2026;1800 UTC;0;30,5;49
29/01/2026;1900 UTC;0;28,1;53
29/01/2026;2000 UTC;0;23,5;79
29/01/2026;2100 UTC;3;20,7;90
29/01/2026;2200 UTC;0;20,2;91
29/01/2026;2300 UTC;0;20,5;94
30/01/2026;0000 UTC;0;20,9;93
30/01/2026;0100 UTC;0;21,2;93
30/01/2026;0200 UTC;4,8;18,8;93
30/01/2026;0300 UTC;13,6;18,4;96
30/01/2026;0400 UTC;4,4;18,8;96
30/01/2026;0500 UTC;,8;18,8;96
30/01/2026;0600 UTC;,2;18,7;96
30/01/2026;0700 UTC;0;18,4;97
30/01/2026;0800 UTC;0;18,6;97
30/01/2026;0900 UTC;0;18,4;97
30/01/2026;1000 UTC;0;19,1;97
30/01/2026;1100 UTC;0;21,1;85
30/01/2026;1200 UTC;0;22,3;76
30/01/2026;1300 UTC;0;22,3;78
30/01/2026;1400 UTC;,2;21,3;86
30/01/2026;1500 UTC;1;21,5;88
30/01/2026;1600 UTC;0;23,3;78
30/01/2026;1700 UTC;0;24,1;74
30/01/2026;1800 UTC;0;26,2;65
30/01/2026;1900 UTC;0;25,7;64
30/01/2026;2000 UTC;,6;19,4;86
30/01/2026;2100 UTC;,8;19,5;89
30/01/2026;2200 UTC;0;18,8;93
30/01/2026;2300 UTC;0;18,7;95
31/01/2026;0000 UTC;0;18,7;96
31/01/2026;0100 UTC;0;18,5;96
31/01/2026;0200 UTC;0;18,8;96
31/01/2026;0300 UTC;0;18,4;95
31/01/2026;0400 UTC;0;18,1;96
31/01/2026;0500 UTC;0;18,9;96
31/01/2026;0600 UTC;0;18,1;95
31/01/2026;0700 UTC;0;18,2;95
31/01/2026;0800 UTC;0;17,9;96
31/01/2026;0900 UTC;0;18,4;96
31/01/2026;1000 UTC;,2;19,5;94
31/01/2026;1100 UTC;0;20,5;88
31/01/2026;1200 UTC;0;22,6;76
31/01/2026;1300 UTC;0;22,6;77
31/01/2026;1400 UTC;0;24,8;71
31/01/2026;1500 UTC;0;25,4;68
31/01/2026;1600 UTC;0;25,7;66
31/01/2026;1700 UTC;0;27,8;59
31/01/2026;1800 UTC;0;27,6;57
31/01/2026;1900 UTC;0;28,4;54
31/01/2026;2000 UTC;0;27,8;56
31/01/2026;2100 UTC;0;26,9;58
31/01/2026;2200 UTC;0;24,8;66
31/01/2026;2300 UTC;0;23,4;72
01/02/2026;0000 UTC;0;23,1;72
01/02/2026;0100 UTC;0;22,5;77
01/02/2026;0200 UTC;0;22,1;84
01/02/2026;0300 UTC;0;21,5;87
01/02/2026;0400 UTC;0;22,1;83
01/02/2026;0500 UTC;0;21,7;86
01/02/2026;0600 UTC;0;21,8;86
01/02/2026;0700 UTC;0;21,2;88
01/02/2026;0800 UTC;0;21,1;89
01/02/2026;0900 UTC;0;21,2;88
01/02/2026;1000 UTC;0;23,1;81
01/02/2026;1100 UTC;0;24,3;78
01/02/2026;1200 UTC;0;24,9;76
01/02/2026;1300 UTC;0;25,8;70
01/02/2026;1400 UTC;,2;25,5;73
01/02/2026;1500 UTC;0;27,2;68
01/02/2026;1600 UTC;0;26,2;68
01/02/2026;1700 UTC;48,8;19,5;96
01/02/2026;1800 UTC;6,4;21,9;97
01/02/2026;1900 UTC;0;22,3;87
01/02/2026;2000 UTC;1;21,2;90
01/02/2026;2100 UTC;2,6;20,8;95
01/02/2026;2200 UTC;,2;20,3;94
01/02/2026;2300 UTC;0;20,1;94
02/02/2026;0000 UTC;0;20,3;93
02/02/2026;0100 UTC;0;20,3;92
02/02/2026;0200 UTC;0;20;94
02/02/2026;0300 UTC;0;19,1;96
02/02/2026;0400 UTC;0;19,2;96
02/02/2026;0500 UTC;0;19,4;97
02/02/2026;0600 UTC;0;19,4;97
02/02/2026;0700 UTC;0;19,7;97
02/02/2026;0800 UTC;0;20,1;97
02/02/2026;0900 UTC;0;20;97
02/02/2026;1000 UTC;0;20,6;97
02/02/2026;1100 UTC;0;20,8;94
02/02/2026;1200 UTC;0;21,5;93
02/02/2026;1300 UTC;0;22,9;85
02/02/2026;1400 UTC;0;23,6;78
02/02/2026;1500 UTC;0;24,5;75
02/02/2026;1600 UTC;0;26,5;68
02/02/2026;1700 UTC;0;25,7;67
02/02/2026;1800 UTC;,4;23,3;83
02/02/2026;1900 UTC;0;23,7;83
02/02/2026;2000 UTC;0;23,9;76
02/02/2026;2100 UTC;0;23,5;79
02/02/2026;2200 UTC;0;22,1;84
02/02/2026;2300 UTC;0;21,7;87
03/02/2026;0000 UTC;0;21,3;93
03/02/2026;0100 UTC;0;21,2;94
03/02/2026;0200 UTC;0;21,2;94
03/02/2026;0300 UTC;0;21,4;89
03/02/2026;0400 UTC;0;21,3;88
03/02/2026;0500 UTC;0;21,3;88
03/02/2026;0600 UTC;0;21;91
03/02/2026;0700 UTC;0;21,3;91
03/02/2026;0800 UTC;0;21;92
03/02/2026;0900 UTC;0;21;92
03/02/2026;1000 UTC;0;21,6;91
03/02/2026;1100 UTC;0;23,2;85
03/02/2026;1200 UTC;0;24;80
03/02/2026;1300 UTC;0;26;74
03/02/2026;1400 UTC;0;24,5;85
03/02/2026;1500 UTC;,2;25,3;73
03/02/2026;1600 UTC;,8;23;88
03/02/2026;1700 UTC;1,6;24,3;84
03/02/2026;1800 UTC;0;26,9;67
03/02/2026;1900 UTC;,2;26,8;70
03/02/2026;2000 UTC;0;23,5;85
03/02/2026;2100 UTC;1,4;22,1;90
03/02/2026;2200 UTC;4,8;21,2;94
03/02/2026;2300 UTC;,6;20,9;95
04/02/2026;0000 UTC;1;20,7;96
04/02/2026;0100 UTC;1,8;20,4;96
04/02/2026;0200 UTC;0;20,6;96
04/02/2026;0300 UTC;0;20,5;96
04/02/2026;0400 UTC;4,8;20,5;96
04/02/2026;0500 UTC;4,2;20;96
04/02/2026;0600 UTC;,6;20,3;97
04/02/2026;0700 UTC;,4;20,6;97
04/02/2026;0800 UTC;0;20,7;97
04/02/2026;0900 UTC;0;20,9;96
04/02/2026;1000 UTC;0;21,4;96
04/02/2026;1100 UTC;0;22,8;89
04/02/2026;1200 UTC;0;23,6;87
04/02/2026;1300 UTC;,2;24;83
04/02/2026;1400 UTC;0;26,2;73
04/02/2026;1500 UTC;0;26,6;69
04/02/2026;1600 UTC;0;27,5;68
04/02/2026;1700 UTC;0;24;82
04/02/2026;1800 UTC;0;25,6;75
04/02/2026;1900 UTC;1,6;22,6;88
04/02/2026;2000 UTC;0;23,7;81
04/02/2026;2100 UTC;0;23;83
04/02/2026;2200 UTC;0;22;88
04/02/2026;2300 UTC;0;21,8;90
05/02/2026;0000 UTC;,2;20,8;93
05/02/2026;0100 UTC;,4;20,6;94
05/02/2026;0200 UTC;,2;20,7;95
05/02/2026;0300 UTC;,2;20,5;96
05/02/2026;0400 UTC;,2;20,3;96
05/02/2026;0500 UTC;,2;20,2;96
05/02/2026;0600 UTC;0;19,8;95
05/02/2026;0700 UTC;0;19,7;96
05/02/2026;0800 UTC;0;19,8;96
05/02/2026;0900 UTC;0;19,9;96
05/02/2026;1000 UTC;0;20,6;95
05/02/2026;1100 UTC;0;21,2;93
05/02/2026;1200 UTC;0;22,8;85
05/02/2026;1300 UTC;0;22,9;83
05/02/2026;1400 UTC;0;23,5;79
05/02/2026;1500 UTC;0;22,8;85
05/02/2026;1600 UTC;0;25;77
05/02/2026;1700 UTC;0;24,6;70
05/02/2026;1800 UTC;,2;24;79
05/02/2026;1900 UTC;0;22,8;82
05/02/2026;2000 UTC;0;21,9;85
05/02/2026;2100 UTC;0;21,5;86
05/02/2026;2200 UTC;0;21,1;87
05/02/2026;2300 UTC;0;20,8;90
06/02/2026;0000 UTC;0;20,2;91
06/02/2026;0100 UTC;0;20;91
06/02/2026;0200 UTC;0;19,8;92
06/02/2026;0300 UTC;0;19,7;94
06/02/2026;0400 UTC;0;20;94
06/02/2026;0500 UTC;0;19,9;94
06/02/2026;0600 UTC;0;20,1;94
06/02/2026;0700 UTC;0;19,9;94
06/02/2026;0800 UTC;0;19,5;94
06/02/2026;0900 UTC;0;19,3;96
06/02/2026;1000 UTC;0;19,6;96
06/02/2026;1100 UTC;0;20,7;91
06/02/2026;1200 UTC;0;23;78
06/02/2026;1300 UTC;0;22,9;82
06/02/2026;1400 UTC;0;24,6;75
06/02/2026;1500 UTC;0;26,2;71
06/02/2026;1600 UTC;0;27,4;66
06/02/2026;1700 UTC;0;25,9;77
06/02/2026;1800 UTC;0;24,2;83
06/02/2026;1900 UTC;0;22;92
06/02/2026;2000 UTC;0;22,4;88
06/02/2026;2100 UTC;0;21,8;91
06/02/2026;2200 UTC;0;21,6;91
06/02/2026;2300 UTC;0;21,5;92
07/02/2026;0000 UTC;0;21,7;89
07/02/2026;0100 UTC;0;21,5;92
07/02/2026;0200 UTC;0;21,2;93
07/02/2026;0300 UTC;0;21,6;91
07/02/2026;0400 UTC;0;21,6;92
07/02/2026;0500 UTC;0;21,1;94
07/02/2026;0600 UTC;0;21,5;94
07/02/2026;0700 UTC;0;21,5;92
07/02/2026;0800 UTC;0;21,1;94
07/02/2026;0900 UTC;0;20,9;95
07/02/2026;1000 UTC;0;21,5;95
07/02/2026;1100 UTC;0;22,3;91
07/02/2026;1200 UTC;0;23;87
07/02/2026;1300 UTC;0;22,9;86
07/02/2026;1400 UTC;0;23,7;83
07/02/2026;1500 UTC;0;23,7;86
07/02/2026;1600 UTC;4,8;24,5;90
07/02/2026;1700 UTC;0;25,4;77
07/02/2026;1800 UTC;0;23,5;87
07/02/2026;1900 UTC;1,6;22,2;94
07/02/2026;2000 UTC;1,4;21,7;96
07/02/2026;2100 UTC;,4;21,2;95
07/02/2026;2200 UTC;0;20,9;96
07/02/2026;2300 UTC;0;21,1;96
08/02/2026;0000 UTC;0;21;96
08/02/2026;0100 UTC;,8;20,6;96
08/02/2026;0200 UTC;,2;20,2;94
08/02/2026;0300 UTC;0;20,3;95
08/02/2026;0400 UTC;0;20;93
08/02/2026;0500 UTC;0;19,7;95
08/02/2026;0600 UTC;,2;19,6;95
08/02/2026;0700 UTC;0;19,3;94
08/02/2026;0800 UTC;0;19,1;96
08/02/2026;0900 UTC;,2;19,1;96
08/02/2026;1000 UTC;0;20,4;94
08/02/2026;1100 UTC;0;22,6;79
08/02/2026;1200 UTC;0;22,6;82
08/02/2026;1300 UTC;0;23,5;77
08/02/2026;1400 UTC;0;24,1;71
08/02/2026;1500 UTC;0;24,8;66
08/02/2026;1600 UTC;0;24,3;73
08/02/2026;1700 UTC;0;24,4;71
08/02/2026;1800 UTC;0;22,6;76
08/02/2026;1900 UTC;0;20,8;84
08/02/2026;2000 UTC;0;21,2;82
08/02/2026;2100 UTC;0;21;84
08/02/2026;2200 UTC;0;20,4;87
08/02/2026;2300 UTC;0;20,2;88
09/02/2026;0000 UTC;0;20,4;88
09/02/2026;0100 UTC;0;20,3;89
09/02/2026;0200 UTC;0;20;90
09/02/2026;0300 UTC;0;19,8;89
09/02/2026;0400 UTC;0;19,9;91
09/02/2026;0500 UTC;0;19,7;91
09/02/2026;0600 UTC;0;19,4;93
09/02/2026;0700 UTC;0;19,5;91
09/02/2026;0800 UTC;0;19,2;91
09/02/2026;0900 UTC;0;19,5;89
09/02/2026;1000 UTC;0;20,1;88
09/02/2026;1100 UTC;0;20,7;88
09/02/2026;1200 UTC;0;21,5;81
09/02/2026;1300 UTC;0;22,5;77
09/02/2026;1400 UTC;0;22,6;77
09/02/2026;1500 UTC;0;23,3;76
09/02/2026;1600 UTC;0;23,8;74
09/02/2026;1700 UTC;0;23,8;75
09/02/2026;1800 UTC;0;22,6;79
09/02/2026;1900 UTC;,2;21,6;89
09/02/2026;2000 UTC;,4;21;93
09/02/2026;2100 UTC;1,4;20,2;94
09/02/2026;2200 UTC;1;19,9;95
09/02/2026;2300 UTC;0;19,7;95
10/02/2026;0000 UTC;,2;19,9;95
10/02/2026;0100 UTC;0;19,8;93
10/02/2026;0200 UTC;,2;19,3;92
10/02/2026;0300 UTC;0;19,3;92
10/02/2026;0400 UTC;0;19;91
10/02/2026;0500 UTC;0;19,1;93
10/02/2026;0600 UTC;0;19,2;93
10/02/2026;0700 UTC;,6;19;93
10/02/2026;0800 UTC;1,2;18,8;95
10/02/2026;0900 UTC;1,2;19;95
10/02/2026;1000 UTC;,4;19,4;95
10/02/2026;1100 UTC;,8;19,8;94
10/02/2026;1200 UTC;0;20,7;87
10/02/2026;1300 UTC;0;22,6;79
10/02/2026;1400 UTC;0;24,6;74
10/02/2026;1500 UTC;0;24,5;68
10/02/2026;1600 UTC;0;24,1;73
10/02/2026;1700 UTC;0;24,9;70
10/02/2026;1800 UTC;,2;25,7;68
10/02/2026;1900 UTC;0;24;75
10/02/2026;2000 UTC;0;24,3;75
10/02/2026;2100 UTC;0;23,8;82
10/02/2026;2200 UTC;0;22,5;82
10/02/2026;2300 UTC;0;21,6;94
11/02/2026;0000 UTC;4,2;21,3;92
11/02/2026;0100 UTC;,6;20,4;95
11/02/2026;0200 UTC;0;20,4;96
11/02/2026;0300 UTC;0;20,6;96
11/02/2026;0400 UTC;1;20,3;97
11/02/2026;0500 UTC;1,2;20,2;97
11/02/2026;0600 UTC;1;20,1;97
11/02/2026;0700 UTC;1,4;20,1;96
11/02/2026;0800 UTC;3,2;20,1;96
11/02/2026;0900 UTC;,4;20,1;95
11/02/2026;1000 UTC;0;20,3;94
11/02/2026;1100 UTC;0;21,1;90
11/02/2026;1200 UTC;,2;22,8;82
11/02/2026;1300 UTC;0;23,6;77
11/02/2026;1400 UTC;0;24,5;72
11/02/2026;1500 UTC;0;25,9;64
11/02/2026;1600 UTC;0;26,7;63
11/02/2026;1700 UTC;0;27,5;63
11/02/2026;1800 UTC;0;26,8;63
11/02/2026;1900 UTC;0;25,7;65
11/02/2026;2000 UTC;0;25,3;69
11/02/2026;2100 UTC;0;24,8;71
11/02/2026;2200 UTC;0;23,5;77
11/02/2026;2300 UTC;0;23,2;78
12/02/2026;0000 UTC;0;23,3;77
12/02/2026;0100 UTC;0;22,6;81
12/02/2026;0200 UTC;0;22,2;85
12/02/2026;0300 UTC;0;22,5;85
12/02/2026;0400 UTC;0;22,1;87
12/02/2026;0500 UTC;0;22,3;81
12/02/2026;0600 UTC;0;22,2;83
12/02/2026;0700 UTC;0;21,6;87
12/02/2026;0800 UTC;0;21,4;89
12/02/2026;0900 UTC;0;21,6;87
12/02/2026;1000 UTC;0;22,3;85
12/02/2026;1100 UTC;0;23,6;78
12/02/2026;1200 UTC;0;25,6;71
12/02/2026;1300 UTC;0;27,5;63
12/02/2026;1400 UTC;0;29,7;62
12/02/2026;1500 UTC;0;29,9;56
12/02/2026;1600 UTC;0;29,9;53
12/02/2026;1700 UTC;0;31,6;49
12/02/2026;1800 UTC;0;30,5;55
12/02/2026;1900 UTC;0;27,3;64
12/02/2026;2000 UTC;0;26,8;65
12/02/2026;2100 UTC;0;26,1;64
12/02/2026;2200 UTC;0;24;82
12/02/2026;2300 UTC;0;23,9;82
13/02/2026;0000 UTC;0;23,3;88
13/02/2026;0100 UTC;0;22,9;86
13/02/2026;0200 UTC;0;22,6;87
13/02/2026;0300 UTC;0;23;87
13/02/2026;0400 UTC;0;23,4;81
13/02/2026;0500 UTC;0;23;81
13/02/2026;0600 UTC;0;22,6;81
13/02/2026;0700 UTC;0;22,4;83
13/02/2026;0800 UTC;0;22,5;82
13/02/2026;0900 UTC;0;22,4;82
13/02/2026;1000 UTC;0;24,1;79
13/02/2026;1100 UTC;0;26;67
13/02/2026;1200 UTC;0;28,1;59
13/02/2026;1300 UTC;0;29,8;53
13/02/2026;1400 UTC;0;31;50
13/02/2026;1500 UTC;0;31,2;47
13/02/2026;1600 UTC;0;32,2;49
13/02/2026;1700 UTC;0;32,5;44
13/02/2026;1800 UTC;0;32,7;48
13/02/2026;1900 UTC;0;30,3;63
13/02/2026;2000 UTC;7,8;23,6;90
13/02/2026;2100 UTC;0;25;83
13/02/2026;2200 UTC;0;25;79
13/02/2026;2300 UTC;9,2;21,5;89
14/02/2026;0000 UTC;,4;21,1;95
14/02/2026;0100 UTC;0;21,3;93
14/02/2026;0200 UTC;,2;21,7;95
14/02/2026;0300 UTC;0;22,1;83
14/02/2026;0400 UTC;0;21,3;92
14/02/2026;0500 UTC;0;21,1;94
14/02/2026;0600 UTC;0;21,3;93
14/02/2026;0700 UTC;0;21;95
14/02/2026;0800 UTC;0;21,1;95
14/02/2026;0900 UTC;0;21;94
14/02/2026;1000 UTC;0;21,2;92
14/02/2026;1100 UTC;0;21,3;92
14/02/2026;1200 UTC;0;22,3;89
14/02/2026;1300 UTC;0;23;86
14/02/2026;1400 UTC;0;23,9;83
14/02/2026;1500 UTC;0;22,4;91
14/02/2026;1600 UTC;0;24,4;81
14/02/2026;1700 UTC;0;24,9;77
14/02/2026;1800 UTC;0;24,1;78
14/02/2026;1900 UTC;0;23,8;80
14/02/2026;2000 UTC;0;23,1;83
14/02/2026;2100 UTC;0;22,9;86
14/02/2026;2200 UTC;0;22,3;87
14/02/2026;2300 UTC;0;21,6;89
15/02/2026;0000 UTC;0;21,3;90
15/02/2026;0100 UTC;0;21,1;90
15/02/2026;0200 UTC;0;20,8;87
15/02/2026;0300 UTC;0;20,8;90
15/02/2026;0400 UTC;0;20,9;89
15/02/2026;0500 UTC;0;20,6;92
15/02/2026;0600 UTC;0;20,4;95
15/02/2026;0700 UTC;0;21;91
15/02/2026;0800 UTC;0;20,5;94
15/02/2026;0900 UTC;0;20,3;93
15/02/2026;1000 UTC;0;22,1;87
15/02/2026;1100 UTC;0;23,3;78
15/02/2026;1200 UTC;0;24,5;72
15/02/2026;1300 UTC;0;25,8;63
15/02/2026;1400 UTC;0;27,1;54
15/02/2026;1500 UTC;0;28,1;48
15/02/2026;1600 UTC;0;28,5;52
15/02/2026;1700 UTC;0;28,9;54
15/02/2026;1800 UTC;0;28,3;60
15/02/2026;1900 UTC;0;27,2;70
15/02/2026;2000 UTC;0;25,3;71
15/02/2026;2100 UTC;0;23,8;78
15/02/2026;2200 UTC;0;22,4;85
15/02/2026;2300 UTC;0;21,5;86
16/02/2026;0000 UTC;0;21,4;88
16/02/2026;0100 UTC;0;21,3;87
16/02/2026;0200 UTC;0;21;89
16/02/2026;0300 UTC;0;20,5;92
16/02/2026;0400 UTC;0;20,4;91
16/02/2026;0500 UTC;0;19,8;93
16/02/2026;0600 UTC;0;19,5;94
16/02/2026;0700 UTC;0;19,4;95
16/02/2026;0800 UTC;0;19,5;95
16/02/2026;0900 UTC;0;19,7;91
16/02/2026;1000 UTC;0;22,2;80
16/02/2026;1100 UTC;0;24,2;75
16/02/2026;1200 UTC;0;25,5;69
16/02/2026;1300 UTC;0;27;61
16/02/2026;1400 UTC;0;29,7;55
16/02/2026;1500 UTC;0;31,2;50
16/02/2026;1600 UTC;0;31,5;42
16/02/2026;1700 UTC;0;32,8;37
16/02/2026;1800 UTC;0;29;69
16/02/2026;1900 UTC;0;27,2;74
16/02/2026;2000 UTC;0;26,2;77
16/02/2026;2100 UTC;0;26,1;79
16/02/2026;2200 UTC;0;25,3;67
16/02/2026;2300 UTC;0;23,1;74
17/02/2026;0000 UTC;0;23,9;72
17/02/2026;0100 UTC;0;22,9;79
17/02/2026;0200 UTC;0;23;87
17/02/2026;0300 UTC;0;22,9;85
17/02/2026;0400 UTC;0;22,5;90
17/02/2026;0500 UTC;0;22,8;80
17/02/2026;0600 UTC;0;22;83
17/02/2026;0700 UTC;0;22,2;80
17/02/2026;0800 UTC;0;22;82
17/02/2026;0900 UTC;0;21,7;89
17/02/2026;1000 UTC;0;23,8;75
17/02/2026;1100 UTC;0;24,9;72
17/02/2026;1200 UTC;0;26,6;66
17/02/2026;1300 UTC;0;29,6;55
17/02/2026;1400 UTC;0;28,3;59
17/02/2026;1500 UTC;0;28,3;63
17/02/2026;1600 UTC;0;28,9;61
17/02/2026;1700 UTC;0;31,7;47
17/02/2026;1800 UTC;0;32,3;41
17/02/2026;1900 UTC;0;30,8;46
17/02/2026;2000 UTC;0;29,8;55
17/02/2026;2100 UTC;0;28;54
17/02/2026;2200 UTC;1,8;22,9;83
17/02/2026;2300 UTC;7,8;20,8;94
18/02/2026;0000 UTC;0;20,9;96
18/02/2026;0100 UTC;0;21,6;96
18/02/2026;0200 UTC;0;21,1;97
18/02/2026;0300 UTC;0;21,1;93
18/02/2026;0400 UTC;0;20,8;95
18/02/2026;0500 UTC;0;20,6;94
18/02/2026;0600 UTC;0;20,3;94
18/02/2026;0700 UTC;,2;20,2;96
18/02/2026;0800 UTC;0;20;96
18/02/2026;0900 UTC;0;20,1;93
18/02/2026;1000 UTC;0;22,3;88
18/02/2026;1100 UTC;0;23,8;78
18/02/2026;1200 UTC;0;25,7;72
18/02/2026;1300 UTC;0;27,4;66
18/02/2026;1400 UTC;,2;27,5;63
18/02/2026;1500 UTC;0;28,4;61
18/02/2026;1600 UTC;0;28,6;61
18/02/2026;1700 UTC;0;27,3;64
18/02/2026;1800 UTC;0;26,5;68
18/02/2026;1900 UTC;0;27,3;63
18/02/2026;2000 UTC;0;27,7;62
18/02/2026;2100 UTC;0;24,8;82
18/02/2026;2200 UTC;0;24;82
18/02/2026;2300 UTC;0;22,9;89
19/02/2026;0000 UTC;0;22,3;89
19/02/2026;0100 UTC;0;22;89
19/02/2026;0200 UTC;0;21,5;91
19/02/2026;0300 UTC;0;21;94
19/02/2026;0400 UTC;0;21;93
19/02/2026;0500 UTC;0;21,4;93
19/02/2026;0600 UTC;0;21,2;93
19/02/2026;0700 UTC;0;20,5;95
19/02/2026;0800 UTC;0;20,6;95
19/02/2026;0900 UTC;0;20,8;94
19/02/2026;1000 UTC;0;22;86
19/02/2026;1100 UTC;0;22,5;85
19/02/2026;1200 UTC;0;24,4;75
19/02/2026;1300 UTC;0;24,8;71
19/02/2026;1400 UTC;0;24,9;77
19/02/2026;1500 UTC;0;26,4;71
19/02/2026;1600 UTC;5;22,4;89
19/02/2026;1700 UTC;,8;24,8;84
19/02/2026;1800 UTC;0;23,1;84
19/02/2026;1900 UTC;0;23,3;82
19/02/2026;2000 UTC;0;22,9;83
19/02/2026;2100 UTC;0;22;87
19/02/2026;2200 UTC;0;21,3;87
19/02/2026;2300 UTC;0;20,8;82
20/02/2026;0000 UTC;0;20,5;89
20/02/2026;0100 UTC;0;20,2;88
20/02/2026;0200 UTC;0;20,4;88
20/02/2026;0300 UTC;0;20,7;89
20/02/2026;0400 UTC;0;20,6;89
20/02/2026;0500 UTC;0;19,9;90
20/02/2026;0600 UTC;0;20;89
20/02/2026;0700 UTC;0;19,6;92
20/02/2026;0800 UTC;0;19,2;94
20/02/2026;0900 UTC;0;18,8;95
20/02/2026;1000 UTC;0;20,9;87
20/02/2026;1100 UTC;0;21,9;81
