REGIAO:;SE;;;
UF:;SP;;;
ESTACAO:;SAO PAULO - INTERLAGOS;;;
CODIGO (WMO):;A771;;;
LATITUDE:;-2,372,444,443;;;
LONGITUDE:;-4,667,749,999;;;
ALTITUDE:;771;;;
DATA DE FUNDACAO:;14/03/2018;;;
Data;Hora UTC;Precipitacao;Temperatura;Umidade
06/01/2026;1700 UTC;0;23,3;70
06/01/2026;1800 UTC;0;23,2;73
06/01/2026;1900 UTC;0;22,5;76
06/01/2026;2000 UTC;0;20,8;82
06/01/2026;2100 UTC;0;20,1;84
06/01/2026;2200 UTC;0;19,9;86
06/01/2026;2300 UTC;0;19,9;88
07/01/2026;0000 UTC;0;19,7;87
07/01/2026;0100 UTC;0;19,6;89
07/01/2026;0200 UTC;0;19,6;90
07/01/2026;0300 UTC;0;19,8;90
07/01/2026;0400 UTC;0;19,9;90
07/01/2026;0500 UTC;0;20,2;84
07/01/2026;0600 UTC;0;19,6;82
07/01/2026;0700 UTC;0;19;85
07/01/2026;0800 UTC;0;19;87
07/01/2026;0900 UTC;0;18,7;89
07/01/2026;1000 UTC;0;21,1;76
07/01/2026;1100 UTC;0;22,8;71
07/01/2026;1200 UTC;0;24,8;62
07/01/2026;1300 UTC;0;26,7;57
07/01/2026;1400 UTC;0;27,8;56
07/01/2026;1500 UTC;0;26,9;58
07/01/2026;1600 UTC;0;27,6;51
07/01/2026;1700 UTC;0;30,1;45
07/01/2026;1800 UTC;0;25,6;73
07/01/2026;1900 UTC;24,4;20;95
07/01/2026;2000 UTC;,2;20,3;92
07/01/2026;2100 UTC;0;21,3;94
07/01/2026;2200 UTC;0;20,8;92
07/01/2026;2300 UTC;0;21;93
08/01/2026;0000 UTC;0;20,4;93
08/01/2026;0100 UTC;0;20,1;95
08/01/2026;0200 UTC;0;20,4;95
08/01/2026;0300 UTC;0;20,1;95
08/01/2026;0400 UTC;;;
08/01/2026;0500 UTC;0;19,7;91
08/01/2026;0600 UTC;0;19,4;93
08/01/2026;0700 UTC;0;18,7;95
08/01/2026;0800 UTC;0;18,8;94
08/01/2026;0900 UTC;0;19,5;94
08/01/2026;1000 UTC;0;22,3;78
08/01/2026;1100 UTC;0;24,4;67
08/01/2026;1200 UTC;0;26,9;57
08/01/2026;1300 UTC;,2;28,4;54
08/01/2026;1400 UTC;,2;29,4;51
08/01/2026;1500 UTC;0;29,4;50
08/01/2026;1600 UTC;0;30,4;48
08/01/2026;1700 UTC;0;32,2;45
08/01/2026;1800 UTC;0;27,3;68
08/01/2026;1900 UTC;0;26;69
08/01/2026;2000 UTC;,2;21,3;85
08/01/2026;2100 UTC;1,6;20;88
08/01/2026;2200 UTC;,2;20,3;90
08/01/2026;2300 UTC;,8;20;94
09/01/2026;0000 UTC;1,8;20,4;95
09/01/2026;0100 UTC;,8;20,8;95
09/01/2026;0200 UTC;,2;20,7;95
09/01/2026;0300 UTC;0;20,3;94
09/01/2026;0400 UTC;0;20,5;96
09/01/2026;0500 UTC;0;19,9;95
09/01/2026;0600 UTC;,2;20,5;96
09/01/2026;0700 UTC;0;20,4;96
09/01/2026;0800 UTC;0;20,2;95
09/01/2026;0900 UTC;0;20;93
